model,Time/Error,Result,Clauses,Variables,Literals,Memory (kB),Depth,InvariantSize
170_Problem13_label23.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,4577978.0,1295533.0,12327691.0,1931800.0,3,inf
171_Problem16_label07.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,759145.0,213242.0,2043236.0,430276.0,3,inf
172_Problem17_label03.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,3388734.0,964019.0,9117978.0,1568732.0,3,inf
173_Problem18_label15.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,1600779.0,447022.0,4309344.0,664284.0,2,inf
174_Problem19_label00.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,7851259.0,2215357.0,21177462.0,3410492.0,3,inf
175_Problem19_label14.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,7852230.0,2215614.0,21180099.0,3393984.0,3,inf
176_Problem19_label36.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,7852322.0,2215672.0,21180911.0,3409712.0,3,inf
177_sqrt_Newton_pseudoconstant.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,845304.0,225227.0,2358472.0,556924.0,2,inf
178_zonotope_2.aig.out.txt,37.96,UN_SAT,44429.0,12187.0,129735.0,145776.0,25,375.0
179_float_req_bl_1071.aig.out.txt,0.03,UN_SAT,2365.0,772.0,7165.0,19576.0,2,2.0
17_gen45.aig.out.txt,0.62,UN_SAT,8251.0,3110.0,23685.0,25044.0,2,513.0
180_float_req_bl_1092a.aig.out.txt,0.03,UN_SAT,4881.0,1607.0,14677.0,21136.0,2,2.0
181_float8.aig.out.txt,0.31,UN_SAT,14688.0,4259.0,42475.0,26764.0,2,2.0
182_newton_1_5.aig.out.txt,1.0,SAT,231283.0,63430.0,646525.0,92380.0,2,-inf
183_digits_bad_for.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,102234.0,28451.0,292614.0,309200.0,8,inf
184_phases_2-1.aig.out.txt,0.41,SAT,19552.0,5127.0,55774.0,27088.0,3,-inf
185_simple_vardep_1.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,3155.0,1158.0,8935.0,8377776.0,1356,inf
186_loop3.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,159576.0,42443.0,449804.0,420548.0,16,inf
187_mod3.c.v+sep-reducer.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,9507.0,3220.0,28902.0,564348.0,3,inf
188_bin-suffix-5.aig.out.txt,0.04,UN_SAT,744.0,306.0,2070.0,61044.0,27,4.0
189_up.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,4207.0,1481.0,12401.0,2547124.0,149,inf
18_gen53.aig.out.txt,13.12,UN_SAT,12595.0,5622.0,36259.0,44304.0,3,2416.0
190_jm2006.c.i.v+cfa-reducer.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,4054.0,1551.0,12141.0,1798740.0,95,inf
191_gauss_sum.i.p+lhb-reducer.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,14342.0,4375.0,39280.0,1856724.0,141,inf
192_deep-nested.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,7065.0,2215.0,20984.0,6620188.0,535,inf
193_benchmark04_conjunctive.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,2928.0,1018.0,8657.0,1897752.0,68,inf
194_mono-crafted_8.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,2413.0,840.0,7033.0,9960828.0,896,inf
195_trex02-1.aig.out.txt,0.03,UN_SAT,1291.0,542.0,3801.0,21196.0,3,2.0
196_dijkstra-u_valuebound1.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,293446.0,84326.0,773751.0,217300.0,2,inf
